id,age,name,last_name,sex,married,income,childrens,weight,height
1,28,Amanda,Burke,Female,No,33486.968984815176,2.0,77.07509544833763,175.78963064822753
2,25,Stephanie,Reyes,Male,Yes,21213.876662313378,3.0,71.421785658604,172.0851248543504
3,78,Crystal,Rogers,Female,Yes,46321.09462511911,3.0,74.10141153661,149.06302854290286
4,26,Nicole,Knox,Female,No,39510.695478725305,2.0,60.85769059467273,150.52001856484702
5,19,Jennifer,Bond,Male,Yes,25817.33268958869,1.0,76.01382269930093,166.93520179439832
6,50,Katherine,Santos,Male,No,25015.728530430846,1.0,54.8635887941322,159.61782525336187
7,41,Ashley,Barrett,Male,No,40264.083394084286,3.0,72.48434606247008,178.6140462976655
8,65,Courtney,Jones,Female,No,38895.45397168495,0.0,58.64478217641963,169.32847014830662
9,47,John,Aguilar,Male,No,38328.395101559996,2.0,98.20695433338608,186.96142430560303
10,41,Joanne,Ferrell,Female,No,30950.17749589537,2.0,71.00790573479522,164.77940810127652
11,31,Sean,Webster,Female,No,20795.655102141332,1.0,73.18798024306587,153.1147021480991
12,46,Robert,Brooks,Male,No,56263.85886994172,1.0,75.68849244657258,172.26281893302317
13,43,Sarah,Schmidt,Female,No,40589.960293119824,3.0,66.83255196691304,165.73905832130828
14,39,Isaac,Wagner,Male,Yes,20098.96485521569,3.0,82.35492235161354,165.41511611695583
15,59,Kenneth,Hernandez,Female,Yes,32697.572637863523,1.0,58.40957740614069,166.69962769767938
16,80,Thomas,Dillon,Female,No,27104.45517496124,3.0,61.37103003501915,152.88517183531795
17,43,Scott,Walker,Male,Yes,33317.71326304381,3.0,76.32486512520711,161.15312187997475
18,31,Michael,Rowland,Male,No,24711.92955882947,2.0,76.95667069413378,184.77164347365277
19,60,Samantha,Rodgers,Female,No,29841.916948133025,0.0,43.53062676342128,147.77596907815564
20,75,Cathy,Russell,Male,No,56203.66287961487,1.0,93.95613537378767,168.50067997697818
21,69,Ian,Jordan,Female,No,36373.569332897634,1.0,61.65279370762147,155.96341899321476
22,74,Angela,Wallace,Male,Yes,56885.28190145368,3.0,64.57863198171088,175.83816707853225
23,57,Tyler,Frank,Female,No,37770.70134787285,1.0,71.97301794741274,169.3463345723636
24,73,Cynthia,Brown,Male,Yes,48655.055526776756,3.0,77.69658071538022,166.3078743700053
25,19,Javier,Huynh,Male,Yes,36873.56665247177,1.0,64.50917214990312,182.3230767541031
26,30,Mike,Morrow,Male,No,19772.83487832355,1.0,73.04970671646223,184.05151757325578
27,60,David,Burns,Female,Yes,,3.0,56.204244994128786,166.00593427531078
28,29,Katherine,Elliott,Female,No,-33302.419450786016,0.0,53.28533082623627,155.62208827954817
29,35,Jeffrey,Ramos,Female,No,27271.87165993882,1.0,71.59308016051722,155.97647785351688
30,52,Eric,Jones,Male,No,27949.36642369525,3.0,66.40438573010029,180.9446653257464
31,29,Tracey,Barnes,Male,Yes,48794.851344654635,1.0,87.2720059367525,178.75338273938414
32,27,Jennifer,Campbell,Female,No,49895.905491064375,2.0,55.75624450918049,154.7085692740488
33,52,Lauren,Frost,Male,No,56621.947049887865,1.0,119.72941884540516,172.68810755422666
34,37,Victoria,Stewart,Male,No,28500.409292525568,2.0,92.28013215451496,
